dealid,artistsid,pitched
6577,75862,0
6471,75862,0
6598,75862,0
6566,75862,0
6601,75862,0
6603,75862,0
6568,75862,0
6556,75862,0
6564,75862,0
6395,75862,0
6620,75862,0
6608,75862,0
6576,75862,0
6587,75862,0
6539,75862,0
6622,75862,0
6636,75862,0
6670,75862,0
6651,75862,0
6665,75862,0
6668,75862,0
6676,75862,0
6637,75862,0
4995,75862,0
6627,75862,0
6685,75862,0
6680,75862,1
6737,75862,0
6732,75862,0
6742,75862,0
6712,75862,0
6744,75862,0
6767,75862,0
6764,75862,0
6775,75862,0
6713,75862,0
6634,75862,0
6778,75862,0
6774,75862,0
6796,75862,0
6805,75862,0
6804,75862,0
6803,75862,0
6802,75862,0
6808,75862,0
6814,75862,0
6793,75862,0
6819,75862,0
6813,75862,0
6807,75862,0
5871,75705,0
6414,75705,0
3255,75705,0
6438,75705,0
6480,75705,0
6479,75705,0
6477,75705,0
6474,75705,0
6476,75705,0
6467,75705,0
6501,75705,0
6495,75705,0
6509,75705,0
6490,75705,0
6517,75705,0
6497,75705,0
6520,75705,0
6496,75705,0
6536,75705,0
5814,75705,0
6569,75705,0
6552,75705,0
6591,75705,0
6586,75705,0
6549,75705,0
6594,75705,0
6577,75705,0
6471,75705,0
6598,75705,0
6566,75705,0
6601,75705,0
6603,75705,0
6568,75705,0
6556,75705,0
6564,75705,0
6395,75705,0
6620,75705,0
6608,75705,0
6576,75705,0
6587,75705,0
6539,75705,0
6622,75705,0
6636,75705,0
6670,75705,0
6651,75705,0
6665,75705,0
6668,75705,0
6676,75705,0
6637,75705,0
4995,75705,0
6627,75705,0
6685,75705,0
6680,75705,0
6737,75705,0
6732,75705,0
6742,75705,0
6712,75705,0
6744,75705,0
6767,75705,0
6764,75705,0
6775,75705,0
6713,75705,0
6634,75705,0
6778,75705,0
6774,75705,0
6796,75705,0
6805,75705,0
6804,75705,0
6803,75705,2
6802,75705,0
6808,75705,0
6814,75705,0
6793,75705,0
6819,75705,0
6813,75705,0
6807,75705,0
5871,750,0
6414,750,0
3255,750,0
6438,750,0
6480,750,0
6479,750,0
6477,750,0
6474,750,0
6476,750,0
6467,750,0
6501,750,0
6495,750,0
6509,750,0
6490,750,0
6517,750,0
6497,750,0
6520,750,0
6496,750,0
6536,750,0
5814,750,0
6569,750,0
6552,750,0
6591,750,0
6586,750,0
6549,750,0
6594,750,0
6577,750,0
6471,750,0
6598,750,0
6566,750,0
6601,750,0
6603,750,0
6568,750,0
6556,750,0
6564,750,0
6395,750,0
6620,750,0
6608,750,0
6576,750,0
6587,750,0
6539,750,0
6622,750,0
6636,750,0
6670,750,0
6651,750,0
6665,750,0
6668,750,0
6676,750,0
6637,750,0
4995,750,0
6627,750,0
6685,750,0
6680,750,0
6737,750,0
6732,750,0
6742,750,1
6712,750,0
6744,750,0
6767,750,0
6764,750,0
6775,750,0
6713,750,0
6634,750,0
6778,750,0
6774,750,0
6796,750,0
6805,750,0
6804,750,0
6803,750,0
6802,750,0
6808,750,0
6814,750,0
6793,750,0
6819,750,0
6813,750,0
6807,750,0
5871,741,0
6414,741,0
3255,741,0
6438,741,0
6480,741,0
6479,741,0
6477,741,0
6474,741,0
6476,741,0
6467,741,0
6501,741,0
6495,741,0
6509,741,0
6490,741,0
6517,741,0
6497,741,0
6520,741,0
6496,741,0
6536,741,0
5814,741,0
6569,741,0
6552,741,0
6591,741,0
6586,741,0
6549,741,0
6594,741,0
6577,741,0
6471,741,0
6598,741,0
6566,741,0
6601,741,0
6603,741,0
6568,741,0
6556,741,0
6564,741,0
6395,741,0
6620,741,0
6608,741,0
6576,741,0
6587,741,0
6539,741,0
6622,741,0
6636,741,0
6670,741,0
6651,741,0
6665,741,0
6668,741,0
6676,741,0
6637,741,0
4995,741,0
6627,741,0
6685,741,0
6680,741,0
6737,741,0
6732,741,0
6742,741,0
6712,741,0
6744,741,0
6767,741,0
